index,raw,uic,lat,lon,entries
368,Bréval,87381624,48.94336,1.54191,breval
369,Briançon,87763607,44.889853,6.633007,briancon
370,Briare,87696088,47.6464312,2.7337154,briare
371,Brignac,87592063,45.8635812,1.4406315,brignac
372,Brignais,87722728,45.6737721,4.7636596,brignais
373,Brignoud,87747451,45.26245,5.901472,brignoud
374,Brimeux,87317180,50.4470409,1.8313826,brimeux
375,Brion - Montréal-la-Cluse,87131961,46.1757013,5.5585203,brion montreal la cluse
376,Brionne,87415364,49.1964187,0.7115304,brionne
377,Brioude,87734269,45.3006493,3.3786344,brioude
378,Briouze,87448084,48.7018622,-0.3682036,briouze
379,Brive-la-Gaillarde,87594002,45.152618,1.528655,brive la gaillarde
380,Broons,87473074,48.3332957,-2.2356578,broons
381,Brou,87394452,48.2157588,1.1606705,brou
382,Broye,87694166,46.8619444,4.2960996,broye
383,Bruges,87581736,44.8870124,-0.609445,bruges
384,Brumath,87212134,48.7331082,7.7004016,brumath
385,Brunémont,87345439,50.2783197,3.1453509,brunemont
387,Bruyères,87144154,48.204895,6.7187638,bruyeres
389,Bruz,87471037,48.0286,-1.7518088,bruz
390,Bueil,87387092,48.9253816,1.4435896,bueil
391,Bugeat,87592162,45.6005968,1.9248147,bugeat
392,Buire-sur-l'Ancre,87316067,49.9647735,2.5981885,buire sur l ancre
393,Bully - Grenay,87342105,50.44843,2.73317,bully grenay
395,Busigny,87296244,50.0397236,3.4461174,busigny
396,Bussac-Forêt,87491191,45.211928,-0.3682457,bussac foret
397,Busseau sur Creuse,87597708,46.1230257,2.0229244,busseau sur creuse
398,Bussière-Galant,87592741,45.6076224,1.0261372,bussiere galant
399,Buzy en Béarn,87672634,43.1482723,-0.4558864,buzy en bearn
400,Byans-sur-Doubs,87718122,47.1185334,5.8520589,byans sur doubs
401,Cadaujac,87582684,44.7520628,-0.5376186,cadaujac
402,Caen,87444000,49.176354,-0.347613,caen
403,Caffiers,87317321,50.8500679,1.8120345,caffiers
404,Cagnes-sur-Mer,87756320,43.65813,7.14864,cagnes sur mer
405,Cahors,87613000,44.449275,1.433325,cahors
406,Calais,87317263,50.953481,1.850819,calais
407,Calais - Fréthun,87281071,50.901221,1.810891,calais frethun
408,Callac,87473546,48.4062201,-3.419782,callac
409,Calonne-Ricouart,87342543,50.4827036,2.4812098,calonne ricouart
410,Cambo-les-Bains,87673657,43.3656242,-1.3966849,cambo les bains
411,Cambrai,87345520,50.17662,3.24118,cambrai
412,Campagnac - Saint-Geniez,87783340,44.4219559,3.0664008,campagnac saint geniez
413,Cannes,87757625,43.553839,7.019682,cannes
