station,commune
rouilly geraudot,rouilly sacey
rouilly st loup,rouilly saint loup
rouille,rouille
roumazieres loubert,terres de haute charente
rountzenheim,rountzenheim auenheim
rousies,rousies
route de launaguet,toulouse
rouvroy l echelle,rouvroy sur audry
rouxmesnil,rouxmesnil bouteilles
roville st maurice,saint maurice sur mortagne
royan,royan
royat chamalieres,chamalieres
roye somme,roye
roye sur matz,roye sur matz
rozerotte,rozerotte
rozieres sur mouzon,rozieres sur mouzon
rozoy sur serre,rozoy sur serre
rue,rue
rueil malmaison,rueil malmaison
ruelle,ruelle sur touvre
ruesnes,ruesnes
ruffec,ruffec
ruffec le chateau,ruffec
ruffey,ruffey les echirey
ruille ponce,loir en vallee
rully,rully
rumigny,rumigny
rumilly,rumilly
rumilly en cambresis,rumilly en cambresis
ruminghem,ruminghem
rungis min,rungis
rungis la fraternelle,rungis
ruppes,ruppes
russ hersbach,wisches
ruynes en margeride,ruynes en margeride
realville,realville
reaumont st cassien,reaumont
rechicourt le chateau,rechicourt le chateau
redange moselle,boulange
reding,reding
regny,regny
reguisheim,reguisheim
rehon,rehon
remelfing,remelfing
remilly,remilly
remilly st honore les bains,remilly
remy,remy
saales,saales
sable sur sarthe,sable sur sarthe
sachy,sachy
saclas st cyr,saint cyr la riviere
saffre,joue sur erdre
saignes ydes,ydes
sail sous couzan,sail sous couzan
saillagouse,saillagouse
saillans,saillans
saillat chassenon,saillat sur vienne
sailly sur la lys,sailly sur la lys
sain bel,sain bel
saincaize,saincaize meauce
sains bouvigny,bouvigny boyeffles
sains richaumont,sains richaumont
sains du nord,sains du nord
saint jean de maurienne,saint jean de maurienne
saintes,saintes
salaise,salaise sur sanne
salbris,salbris
saleux,saleux
salies du salat,salies du salat
salindres,salindres
salins,salins
sallanches combloux megeve,sallanches
sallaumines,sallaumines
salles,salles
salles adour,salles adour
salles courbaties,salles courbaties
salles moussac,salles de villefagnan
salles la source,salles la source
salleles d aude,salleles d aude
salome,salome
salon,salon de provence
salon la tour,salon la tour
salses,salses le chateau
saltatojo,furiani
salechan siradan,salechan
samazan,samazan
samer,samer
sames guiche pyrenees atlantiques,sames
samoussy,samoussy
sampanges,gimouille
sampigny,sampigny
san gavino,belgodere
sanatorium de zuydcoote,zuydcoote
sancourt,abancourt
sancy,sancy
sannois,sannois
sanry sur nied,sanry sur nied
sant ambroggio,lumio
santenay les bains,santenay
santes,santes
santeuil,santeuil
santeuil le perchay,santeuil
sarcelles st brice,saint brice sous foret
sardy les epiry,sardy les epiry
sarge sur braye,sarge sur braye
sarge sur braye centre,sarge sur braye
sarlat,sarlat la caneda
sarlieve cournon,cournon d auvergne
sarralbe,sarralbe
sarraltroff,sarraltroff
sarrance,sarrance
sarrancolin,sarrancolin
sarras,sarras
sarre union,sarre union
sarrebourg,sarrebourg
sarreguemines,sarreguemines
sarreguemines est,sarreguemines
sarreinsming,sarreinsming
sarrewerden,sarrewerden
sarrians montmirail,sarrians
sartrouville,sartrouville
sathonay rillieux,rillieux la pape
sathonay rillieux,sathonay camp
saubusse les bains,saubusse
sauchay bellengreville,sauchay
saujon,saujon
saulce,saulce sur rhone
saulces montclin,saulces monclin
saulcy,saulcy sur meurthe
saulieu,saulieu
saulmory montigny,saulmory villefranche
saulnes,saulnes
saulnieres morvillette,saulnieres
saulon,saulon la chapelle
sault brenaz,sault brenaz
saultain,saultain
saulty l arbret,la herliere
saulxures,colroy la roche
saumont la poterie,saumont la poterie
saumur,saumur
saumur rive gauche,saumur
saussay st martin,saussay
saussay ecouis,saussay la campagne
sausset les pins,sausset les pins
sauto,sauto
sauveboeuf,lalinde
sauveterre,sauveterre
sauveterre la lemance,sauveterre la lemance
sauvigny,sauvigny le bois
savaggio,vivario
savenay,savenay
savennieres behuard,savennieres
saverdun,saverdun
saverne,saverne
savigny ardennes,savigny sur aisne
savigny en septaine,savigny en septaine
savigny le temple nandy,savigny le temple
savigny sur braye centre,savigny sur braye
savigny sur orge,savigny sur orge
savines,savines le lac
savieres,savieres
savonnieres,savonnieres
savoyeux,savoyeux
savy berlette,savy berlette
saone,saone
sceaux boesse,boesse le sec
schalbach,schalbach
scherwiller,scherwiller
schiltigheim,schiltigheim
schirmeck la broque,schirmeck
schirrhein,schirrhein
schlierbach,schlierbach
schopperten,schopperten
schweighouse sur moder,schweighouse sur moder
schwindratzheim,schwindratzheim
scoury,ciron
seclin,seclin
sedan,sedan
segre,segre en anjou bleu
selles st denis,selles saint denis
selles sur cher,selles sur cher
selommes,selommes
selongey,selongey
seltz,seltz
sembadel,sembadel
semoy,semoy
semur en auxois,semur en auxois
semene,aurec sur loire
senas tgv,senas
senissiat revonnas,revonnas
senlis,senlis
sennecey le grand,sennecey le grand
sennevoy,sennevoy le bas
senonches,senonches
senozan,senozan
sens,sens
sens st clement,sens
sentheim,sentheim
senuc termes,senuc
sept saulx,sept saulx
septemes,septemes les vallons
sequedin,sequedin
serdinya,serdinya
sergy st genis,sergy
sermaise,sermaise
sermaises du loiret,sermaises
sermaize les bains,sermaize les bains
sermizelles vezelay,givry
sernhac,sernhac
serqueux,serqueux
serquigny,serquigny
serres,serres
serrigny,ladoix serrigny
serrieres,serrieres
servas lent,servas
serves sur rhone erome,serves sur rhone
servon,servon sur vilaine
servon tanis,servon
servoz,les houches
sessenheim,sessenheim
seugy,seugy
seurre,seurre
seveux,seveux motey
sevran beaudottes,sevran
sevran livry,sevran
seychalles moissat,seychalles
seyssel corbonod,corbonod
sibelin,solaize
sierentz,sierentz
sigournais,sigournais
sillards,sillars
sillery,sillery
sille le guillaume,sille le guillaume
simandre sur suran,simandre sur suran
simard,simard
simiane,simiane collongue
sin le noble,sin le noble
sincey les rouvray,sincey les rouvray
siorac en perigord,siorac en perigord
sireuil,sireuil
sisteron,sisteron
soissons,soissons
solesme,solesmes
solferino,solferino
solignac le vigen,le vigen
solignac sur loire,solignac sur loire
sollies pont,sollies pont
somain,somain
somme tourbe,somme tourbe
sommepy,sommepy tahure
sommery,sommery
sommesous,sommesous
songy,songy
sorcy,sorcy saint martin
sorgues chateauneuf du pape,sorgues
sornac st remy,saint remy
sospel,sospel
sottevast,rocheville
sotteville,sotteville les rouen
soubie,moulin neuf
soudan,soudan
soudeilles,soudeilles
soues,soues
soufflenheim,soufflenheim
sougy,sougy sur loire
souillac,souillac
soulac sur mer,soulac sur mer
soullans,soullans
soulosse,coussey
soultz haut rhin,soultz haut rhin
soultz sous forets,soultz sous forets
soum pic du jer,lourdes
souppes chateau landon,souppes sur loing
sourdeval,sourdeval
sous peron,peron
sous le bois,maubeuge
soussans,soussans
souvans,souvans
souvigny,souvigny
soveria,soveria
soyons,soyons
spincourt,spincourt
st affrique,saint affrique
st agnan,saint agnan
st agne,toulouse
st aignan noyers,noyers sur cher
st aignan de couptrain,saint aignan de couptrain
st aigulin la roche chalais,saint aigulin
st alban la grive,saint alban de roche
st alyre,saint alyre d arlanc
st amand montrond orval,orval
st amand de vendome,saint amand longpre
st amand les eaux,saint amand les eaux
st amant de boixe,saint amant de boixe
st amarin,saint amarin
st ambroix,saint ambroix
st amour,saint amour
st andre,saint andre lez lille
st andre de corcy,saint andre de corcy
st andre de cubzac,saint andre de cubzac
st andre de lidon,saint andre de lidon
st andre de l eure,saint andre de l eure
st andre des eaux,saint nazaire
st andre en terre plaine,saint andre en terre plaine
st andre le gaz,saint andre le gaz
st antoine mr,marseille
st antoine port ste foy,port sainte foy et ponchapt
st antoine d auberoche,bassillac et auberoche
st antoine de breuilh,saint antoine de breuilh
st antoine du rocher,saint antoine du rocher
st armel,saint armel
st astier,saint astier
st aubert,saint aubert
st aubin jura,saint aubin
st aubin st luperce,saint aubin des bois
st aubin des bois,saint aubin des bois
st aubin du vieil evreux,le vieil evreux
st aubin la bruere,la bruere sur loir
st aubin sur loire,saint aubin sur loire
st aubin sur scie,saint aubin sur scie
st aulaire,saint aulaire
st aunes,saint aunes
st avit,saint avit
st avold,valmont
st avre la chambre,saint avre
st ay,saint ay
st barthelemy,marseille
st benoit vienne,saint benoit
st benoit rigny,saint benoit la foret
st benoit st aignan,bray saint aignan
st berthevin,saint berthevin
st blaise la roche poutay,saint blaise la roche
st blin,vesaignes sous lafauche
st bonnet de rochefort,saint bonnet de rochefort
st bonnet en bresse,saint bonnet en bresse
st brice courcelles,saint brice courcelles
st brice sur vienne,saint brice sur vienne
st brieuc,saint brieuc
st bres mudaison,baillargues
st berain,saint berain sur dheune
st beron la bridoire,saint beron
st capraise de lalinde,saint capraise de lalinde
st cassin la cascade,saint cassin
st cergues les voirons,saint cergues
st chamas,saint chamas
st chamond,saint chamond
st christoly de blaye,saint christoly de blaye
st christophe,saint christophe vallon
st christophe du bois,saint christophe du bois
st chely d apcher,saint chely d apcher
st cheron,saint cheron
st cirq lapopie,tour de faure
st clair,gourdon
st clair les roches,saint clair du rhone
st claude,saint claude
st cloud,saint cloud
st clement,saint clement sur durance
st clement laronxe,saint clement
st clement de regnat,saint clement de regnat
st clement des levees,saint clement des levees
st crepin,saint crepin
st cyprien arenes,toulouse
st cyprien en dordogne,saint cyprien
st cyr,saint cyr l ecole
st cyr grande ceinture,versailles
st cyr st georges,saint mars d egrenne
st cyr de favieres,saint cyr de favieres
st cyr en val la source,saint cyr en val
st cyr les lecques la cadiere,saint cyr sur mer
st cesaire,nimes
st cesaire min,nimes
st dalmas de tende,tende
st denis,saint denis
st denis catus,saint denis catus
st denis jargeau,saint denis de l hotel
st denis de jouhet,saint denis de jouhet
st denis de pile,saint denis de pile
st denis des murs,saint denis des murs
st denis du pin,essouvert
st denis les lucs,saint denis la chevasse
st denis pres martel,saint denis les martel
st denis sur sarthon,saint denis sur sarthon
st didier cote d or,saint didier
st didier la seauve,la seauve sur semene
st didier en velay,monistrol sur loire
st didier sur arroux,saint didier sur arroux
st dizier,saint dizier
st dizier leyrenne,saint dizier masbaraud
st die des vosges,saint die des vosges
st desirat champagne,saint desirat
st erme,saint erme outre et ramecourt
st estephe,saint estephe
st eulien,saint eulien
st fargeau,saint fargeau ponthierry
st firmin housseville,housseville
st florent sur auzonnet,saint jean de valeriscle
st florent sur cher,saint florent sur cher
st florentin vergigny,vergigny
st florentin ville,saint florentin
st flour chaudes aigues,saint georges
st fons,saint fons
st fraimbault de prieres,saint fraimbault de prieres
st front sur lemance,saint front sur lemance
st feliu d avall,saint feliu d avall
st felix,saint felix lauragais
st gaudens,saint gaudens
st gaultier,saint gaultier
st genies de malgoires,saint genies de malgoires
st genouph,saint genouph
st georges motel,saint georges motel
st georges d aurac,mazeyrat d allier
st georges de commiers,saint georges de commiers
st georges de luzencon,saint georges de luzencon
st georges de reneins,saint georges de reneins
st georges de la riviere,saint georges de la riviere
st georges du bois,saint georges du bois
st georges sur loire,saint georges sur loire
st georges etival,saint georges du bois
st geours,saint geours de maremne
st germain st remy,saint germain sur avre
st germain au mont d or,saint germain au mont d or
st germain d esteuil,saint germain d esteuil
st germain de joux,saint germain de joux
st germain de tallevende,vire normandie
st germain des fosses,saint germain des fosses
st germain des pres loiret,saint germain des pres
st germain du bois devrouze,devrouze
st germain du puy,saint germain du puy
st germain en laye bel air fourqueux,saint germain en laye
st germain en laye grande ceinture,saint germain en laye
st germain l espinasse,saint germain lespinasse
st germain les belles,saint germain les belles
st germain sur ille,saint germain sur ille
st germain sur meuse,saint germain sur meuse
st germer,saint germer de fly
st germe,saint germe
st gervais chateauneuf,saint gervais d auvergne
st gervais les bains le fayet,saint gervais les bains
st gervais sous meymont,saint gervais sous meymont
st gervasy bezouce,saint gervasy
st gildas des bois,saint gildas des bois
st gilles,wintzenheim
st gilles saone et loire,saint gilles
st gilles croix de vie,saint gilles croix de vie
st gilles du gard,saint gilles
st gingolph,saint gingolph
st girons,saint girons
st gobert rougeries,saint gobert
st gratien,saint gratien
st genies montfaucon,saint genies de comolas
st gerand,saint gerand croixanvec
st gerand le puy magnet,magnet
st gery,saint gery vers
st hilaire,saint hilaire sur helpe
st hilaire indre,saint hilaire sur benaize
st hilaire lot et garonne,saint hilaire de lusignan
st hilaire beaufai,beaufai
st hilaire brizambourg,saint hilaire de villefranche
st hilaire peyroux,aubazines
st hilaire st nazaire,saint hilaire du rosier
st hilaire au temple,saint hilaire au temple
st hilaire de brethmas,saint hilaire de brethmas
st hilaire de chaleons,saint hilaire de chaleons
st hilaire de riez,saint hilaire de riez
st hilaire la gravelle,saint hilaire la gravelle
st hilaire le petit,saint hilaire le petit
st hippolyte haut rhin,saint hippolyte
st illide,saint illide
st jacques,saint jacques des blats
st jacques de la lande,saint jacques de la lande
st jacut,saint jacut les pins
st jean froidmentel,saint jean froidmentel
st jean pied de port,saint jean pied de port
st jean pla de corts,saint jean pla de corts
st jean d angely,saint jean d angely
st jean d heurs,saint jean d heurs
st jean de bonneval,saint jean de bonneval
st jean de braye,saint jean de braye
st jean de gonville,saint jean de gonville
st jean de losne,saint usage
st jean de luz ciboure,saint jean de luz
st jean de moirans,saint jean de moirans
st jean de sauves,saint jean de sauves
st jean de thouars,saint jean de thouars
st jean de valeriscle,les mages
st jean de verges,crampagna
st jean de vedas,saint jean de vedas
st jean de la porte,saint jean de la porte
st jean du gard,saint jean du gard
st jean et st paul,saint jean et saint paul
st jean le centenier,saint jean le centenier
st jean sur veyle,saint jean sur veyle
st jodard,saint jodard
st jores,montsenelle
st jory,saint jory
st joseph,nantes
st joseph le castellas,marseille
st josse,merlimont
st julien cotes d armor,saint julien
st julien changy,saint julien de civry
st julien clenay,saint julien
st julien l ars,saint julien l ars
st julien montricher,saint julien mont denis
st julien du sault,saint julien du sault
st julien en beauchene,saint julien en beauchene
st julien en genevois,saint julien en genevois
st julien la vetre,vetre sur anzon
st julien le vendomois,saint julien le vendomois
st julien les fumades,saint julien de cassagnas
st julien les villas,saint julien les villas
st julien sur garonne,saint julien sur garonne
st julien ecuisses,saint julien sur dheune
st junien,saint junien
st just st marcel,saint marcel d ardeche
st just st rambert,saint just saint rambert
st just d avray,saint just d avray
st just des marais,beauvais
st just en chaussee,saint just en chaussee
st just sur loire,saint just saint rambert
st juery,saint juery
st lattier,saint lattier
st laurent haute savoie,saint laurent
st laurent jura,saint laurent en grandvaux
st laurent gainneville,saint laurent de brevedent
st laurent st julien,saint laurent medoc
st laurent st paul,saint laurent de neste
st laurent d aigouze,saint laurent d aigouze
st laurent d oingt,val d oingt
st laurent d olt,saint laurent d olt
st laurent de la pree,saint laurent de la pree
st laurent des combes,saint laurent des combes
st laurent du var,saint laurent du var
st laurent sur sevre,saint laurent sur sevre
st leu d esserent,saint leu d esserent
st leu la foret,saint leu la foret
st liguaire,niort
st lothain,saint lothain
st loubes,saint loubes
st louis,saint louis
st louis la chaussee,saint louis
st louis les aygalades,marseille
st loup,saint loup sur semouse
st loup lamaire,saint loup lamaire
st lye,saint lye
st leger boissey,saint leger du gennetey
st leger moussey,saint leger pres troyes
st leger les domart,saint leger les domart
st leger sur dheune,saint leger sur dheune
st leon sur l isle,saint leon sur l isle
st leonard,saint leonard
st leonard de noblat,saint leonard de noblat
st lo,saint lo
st lo d ourville,port bail sur mer
st macaire,saint macaire
st maclou,saint maclou
st maixent l ecole,saint maixent l ecole
st maixent sur vie,coex
st malo,saint malo
st mammes,saint mammes
st mande,saint mande
st marcel,marseille
st marcel en dombes,saint marcel
st marcel ls chalon,saint marcel
st marcel les valence,alixan
st marcellin,saint marcellin
st marcellin loire,saint marcellin en forez
st mards de fresne,saint mards de fresne
st mariens st yzan,saint yzan de soudiac
st mars du desert,saint mars du desert
st mars la briere,saint mars la briere
st mars la jaille,teille
st martial,tauriac de naucelle
st martial le mont,saint pardoux les cards
st martin bellevue,filliere
st martin labouval,saint martin labouval
st martin sail les bains,saint martin d estreaux
st martin usson,saint martin l ars
st martin d oney,saint martin d oney
st martin d ecublei,saint martin d ecublei
st martin d etampes,etampes
st martin de bouillac,bouillac
st martin de crau,saint martin de crau
st martin de fraigneau,saint martin de fraigneau
st martin de la cluze,saint martin de la cluze
st martin de la mer,saint martin de la mer
st martin de la place,gennes val de loire
st martin du mont,saint martin du mont
st martin du touch,toulouse
st martin du vivier,saint martin du vivier
st martin le beau,saint martin le beau
st martory,saint martory
st masmes,saint masmes
st mathurin,loire authion
st maur creteil,saint maur des fosses
st maur sur indre,saint maur
st maurice doubs,saint maurice colombier
st maurice de beynost,saint maurice de beynost
st maurice en trieves,saint maurice en trieves
st maurice sur fessard,saint maurice sur fessard
st maximin,saint maximin la sainte baume
st merd la breuille,saint merd la breuille
st mesmin,saint mesmin
st mesmin le vieux,saint mesmin
st michel notre dame,paris
st michel sougland,saint michel
st michel valloire,saint michel de maurienne
st michel les portes,saint michel les portes
st michel sur charente,angouleme
st michel sur meurthe,saint michel sur meurthe
st michel sur orge,saint michel sur orge
st mihiel,saint mihiel
st montant,saint montan
st morel,saint morel
st more,saint more
st medard d eyrans,saint medard d eyrans
st medard de guizieres,saint medard de guizieres
st medard sur ille,saint medard sur ille
st meen,saint meen le grand
st meme les carrieres,saint meme les carrieres
st nabord,saint nabord
st nazaire,saint nazaire
st nicolas st romain,saint romain le noble
st nicolas des eaux,plumeliau bieuzy
st nizier d azergues,saint nizier d azergues
st nom la breteche foret de marly,l etang la ville
st nom la breteche foret de marly tt,l etang la ville
st omer,saint omer
st omer en chaussee,saint omer en chaussee
st ouen,saint ouen sur seine
st ouen somme,saint ouen
st ouen garibaldi,saint ouen sur seine
st ouen du breuil,saint ouen du breuil
st ouen l aumone,saint ouen l aumone
st ouen l aumone liesse,saint ouen l aumone
st ouen l aumone eglise,saint ouen l aumone
st ouen les docks,saint ouen sur seine
st ours les roches,saint ours
st pal st romain,saint pal de mons
st pal de mons,monistrol sur loire
st pardoux,saint pardoux soutiers
st pardoux le vieux,saint pardoux le vieux
st pargoire,saint pargoire
st parres les vaudes,saint parres les vaudes
st paterne,saint paterne racan
st patrice,coteaux sur loire
st paul st antoine,saint paul de jarrat
st paul de fenouillet,saint paul de fenouillet
st paul de varax,saint paul de varax
st paul de l oise,saint paul
st paul les romans,saint paul les romans
st piat,saint piat
st pierre quiberon,saint pierre quiberon
st pierre d albigny,saint pierre d albigny
st pierre d amilly,saint pierre d amilly
st pierre d argencon,saint pierre d argencon
st pierre d aurillac,saint pierre d aurillac
st pierre de boeuf,saint pierre de b uf
st pierre de chignac,saint pierre de chignac
st pierre des corps,saint pierre des corps
st pierre du vauvray,saint pierre du vauvray
st pierre en faucigny,saint pierre en faucigny
st pierre la cour,saint pierre la cour
st pierre le moutier,saint pierre le moutier
st pierre le viger fontaine le dun,saint pierre le viger
st pierre les calais,calais
st pierre les elbeuf,saint pierre les elbeuf
st pierre sur dives,saint pierre en auge
st planchers,saint planchers
st pol de leon,saint pol de leon
st pol sur ternoise,saint pol sur ternoise
st pons herault,saint pons de thomieres
st pourcain sur sioule,saint pourcain sur sioule
st priest,saint priest
st priest sauret,saint gervais d auvergne
st priest taurion,saint priest taurion
st pere en retz,saint pere en retz
st pe de bigorre,saint pe de bigorre
st peray,saint peray
st quentin,saint quentin
st quentin fallavier,saint quentin fallavier
st quentin en yvelines,montigny le bretonneux
st quentin le verger,saint quentin le verger
st rambert d albon,saint rambert d albon
st rambert en bugey,saint rambert en bugey
st raphael valescure,saint raphael
st remy du plan,saint remy du val
st remy en l eau,saint remy en l eau
st riquier,saint riquier
st rivalain,saint barthelemy
st roch somme,amiens
st romain lachalm,monistrol sur loire
st romain de benet,saint romain de benet
st romain de popey,saint romain de popey
st romain en gier,saint romain en gier
st romain le puy,saint romain le puy
st rome de cernon,saint rome de cernon
st remy calvados,saint remy
st remy en rollat,saint remy en rollat
st remy les chevreuses,saint remy les chevreuse
st saturnin st bonnet,saint saturnin
st saturnin d avignon,saint saturnin les avignon
st sauves,saint sauves d auvergne
st sauveur chateauneuf,saint sauveur marville
st sauveur de peyre,peyre en aubrac
st sauveur la sagne,saint sauveur la sagne
st savin de blaye,saint savin
st savinien sur charente,saint savinien
st saviol,saint saviol
st senoux plechatel,saint senoux
st seurin lijardieres,saint seurin de palenne
st seurin sur l isle,saint seurin sur l isle
st sever,noues de sienne
st sever landes,saint sever
st simeon,saint simeon
st sornin,saint sornin
st souplet sur py,saint souplet sur py
st sulpice,saint sulpice la pointe
st sulpice auteuil,saint sulpice
st sulpice izon,saint sulpice et cameyrac
st sulpice lauriere,saint sulpice lauriere
st sylvain briollay,rives du loir en anjou
st symphorien deux sevres,bessines
st symphorien de marmagne,saint symphorien de marmagne
st sebastien,saint sebastien
st sebastien frene rond,saint sebastien sur loire
st sebastien pas enchantes,saint sebastien sur loire
st thibault aube,saint thibault
st thibery,saint thibery
st thurin,saint didier sur rochefort
st thegonnec,saint thegonnec loc eguiner
st ustre,ingrandes
st usuge,saint usuge
st vaast bosville,saint vaast dieppedalle
st vaast d equiqueville,saint vaast d equiqueville
st vallier sur rhone,saint vallier
st valery canal,boismont
st varent,saint varent
st viaud,saint viaud
st victor,saint maclou de folleville
st victor thizy,saint victor sur rhins
st victurnien,saint victurnien
st vidal,saint vidal
st vincent bezenac,saint vincent de cosse
st vincent ste cecile,saint vincent sterlanges
st vincent de tyrosse,saint vincent de tyrosse
st vincent le chateau,saint vincent
st vit,saint vit
st vivien,saint vivien de medoc
st vrain,saint vrain
st yan,saint yan
st yorre,saint yorre
st yrieix,saint yrieix la perche
st yvy,saint yvi
st egreve st robert,saint egreve
st eloi,saint eloi
st eloy,saint eloy les mines
st emilion,saint emilion
st etienne bellevue,saint etienne
st etienne carnot,saint etienne
st etienne chateaucreux,saint etienne
st etienne la terrasse,saint etienne
st etienne le clapier,saint etienne
st etienne menet,saint etienne de chomeil
st etienne nozay,saint etienne sous barbuise
st etienne pont de l ane,saint etienne
st etienne d albagnan,saint etienne d albagnan
st etienne de baigorry,saint etienne de baigorry
st etienne de lisse,saint etienne de lisse
st etienne de montluc,saint etienne de montluc
st etienne de st geoirs,saint etienne de saint geoirs
st etienne du bois,saint etienne du bois
st etienne du rouvray,saint etienne du rouvray
stade de france st denis,saint denis
staffelfelden,staffelfelden
stains,stains
stains cerisaie tt,stains
stambach,haegen
ste agnes,sainte agnes
ste anastasie,neussargues en pinatelle
ste anastasie garage,sainte anastasie sur issole
ste anne,pluneret
ste bazeille,sainte bazeille
ste christie,sainte christie
ste colombe,sainte colombe
ste colombe septveilles,sainte colombe
ste colombe les vienne st romain en gal,saint romain en gal
ste colombe sur seine,sainte colombe sur seine
ste croix,sainte croix en bresse
ste croix aux mines,sainte croix aux mines
ste croix en plaine,sainte croix en plaine
ste cecile d andorge,sainte cecile d andorge
ste eulalie carbon blanc,sainte eulalie
ste feyre,sainte feyre
ste flaive,sainte flaive des loups
ste fontaine,freyming merlebach
ste foy l argentiere,sainte foy l argentiere
ste foy la grande,pineuilh
ste gauburge,sainte gauburge sainte colombe
ste gemme petre,sainte gemme la plaine
ste genevieve des bois,sainte genevieve des bois
ste helene du lac,sainte helene du lac
ste livrade sur lot,sainte livrade sur lot
ste lizaigne,sainte lizaigne
ste luce,sainte luce sur loire
ste leocadie,sainte leocadie
ste marguerite,comines
ste marguerite remomeix,sainte marguerite
ste marie aux mines,sainte croix aux mines
ste marthe en provence,marseille
ste maure noyant,noyant de touraine
ste menehould,sainte menehould
ste mesme,sainte mesme
ste musse,toulon
ste neomaye,sainte neomaye
ste pazanne,sainte pazanne
ste segree,sainte segree
ste solange,sainte solange
ste tulle,sainte tulle
steenbecque,steenbecque
steenwerck,bailleul
steinbourg,steinbourg
stenay,stenay
stephansfeld,brumath
stiring wendel,stiring wendel
strasbourg cronenbourg,strasbourg
strasbourg koenigshoffen,strasbourg
strasbourg neudorf,strasbourg
strasbourg port du rhin,strasbourg
strasbourg roethig,lingolsheim
strasbourg ville,strasbourg
strazeele,strazeele
sucy bonneuil,sucy en brie
suce sur erdre,suce sur erdre
suippes,suippes
sully sur loire,sully sur loire
sundhoffen,sundhoffen
surat,surat
surdon,le chateau d almeneches
suresnes longchamp,suresnes
suresnes mont valerien,suresnes
suresnes puteaux,suresnes
surgy,surgy
surgeres,surgeres
survilliers fosses,fosses
sury le comtal,sury le comtal
suevres,suevres
syam,cize
sete,sete
sete ie,sete
sevres rive gauche,sevres
sevres st cloud,sevres
sevres ville d avray,sevres
sees,sees
segala,montferrand
segrie vernie,segrie
selestat,selestat
semalens,semalens
semeac mercadieu,aureilhan
senas,senas
seon st henry,marseille
serifontaine,serifontaine
serignac,serignac
serezin,ternay
serezin de la tour,serezin de la tour
severac,severac
severac le chateau,severac d aveyron
sezanne,sezanne
tgv haute picardie,estrees deniecourt
tacoignieres richebourg,tacoignieres
taconnaz,les houches
tagnon,tagnon
tagolsheim,tagolsheim
taillebourg,taillebourg
tain l hermitage tournon,tain l hermitage
talais,talais
talence medoquine,talence
talizat,talizat
talmay,talmay
tamaris,ales
tamnay chatillon,tamnay en bazois
tancua,morbier
tanlay,tanlay
tantonville,tantonville
tanus,tanus
taponnat,taponnat fleurignac
tarare,tarare
tarascon,tarascon
tarascon sur ariege,tarascon sur ariege
tarbes,tarbes
tassin,tassin la demi lune
tattone,vivario
taule henvic,taule
tavaux solvay,tavaux
tavera,tavera
taverny,taverny
teillet argenty,teillet argenty
teille,teille
teille mouzeil,ligne
templeuve,templeuve en pevele
tenay hauteville,tenay
tencin theys,tencin
tende,tende
tendron,tendron
tennis club,calvi
tergnier,tergnier
ternand,ternand
ternay,ternay
terrasson,terrasson lavilledieu
terre neuve,lucay le male
terrenoire,saint etienne
tessonnieres,gaillac
teting,teting sur nied
thann,thann
thann centre,thann
thann st jacques,thann
thaon,thaon les vosges
theil cerisiers,villiers louis
theillay,theillay
thenissey,thenissey
thennelieres,thennelieres
thennes castel,thennes
thenon,thenon
theuville,theuville
theuvy acheres,tremblay les villages
thiat oradour,oradour saint genest
thiaucourt,thiaucourt regnieville
thiaville,thiaville sur meurthe
thiel sur acolin,thiel sur acolin
thiennes,thiennes
thiers,thiers
thieux nantouillet,nantouillet
thionville,thionville
thiviers,thiviers
thiezac,thiezac
thoiry,thoiry
thomery,fontainebleau
thonon les bains,thonon les bains
thore la rochette,thore la rochette
thoree les pins,luche pringe
thouars,thouars
thouare,thouare sur loire
thouron,peyrilhac
thourotte,thourotte
thun le paradis,meulan en yvelines
thuret,thuret
thury harcourt,thury harcourt le hom
thues,thues entre valls
thues les bains,nyer
thedirac peyrilles,peyrilles
thenioux,thenioux
theoule sur mer,theoule sur mer
thesee,thesee
theziers,theziers
thezy glimont,thezy glimont
tieffenbach struth,tieffenbach
tiercelet villers la montagne,tiercelet
tierce,tierce
tilchatel,til chatel
tillieres,tillieres sur avre
tincourt boucly,tincourt boucly
tincques,tincques
toctoucau,cestas
toirac,saint pierre toirac
tonnay charente,tonnay charente
tonneins,tonneins
tonnerre,tonnerre
tonnerre tgv,tonnerre
torchamp,torchamp
torcieu,torcieu
torfou,sevremoine
torfou tiffauges,sevremoine
torpes boussieres,torpes
toucy moulins,toucy
toucy ville,dracy
toul,toul
toulon,toulon
toulouse matabiau,toulouse
tourcoing,tourcoing
tourcoing frontiere ie,wattrelos
tourcoing les francs,tourcoing
tournan,tournan en brie
tournay,tournay
tournemire roquefort,tournemire
tournes,tournes
tournon,tournon sur rhone
tournon st martin,tournon saint martin
tournus,tournus
tours,tours
tours savoie,tours en savoie
tourves,tourves
tourville,tourville la riviere
toury,toury
toutainville,toutainville
touet de l escarene,touet de l escarene
tracy sancerre,tracy sur loire
trans,trans en provence
traou nez,plourivo
trappes,trappes
trappes marchandises,trappes
treignat,treignat
trentels ladignac,trentels
tressin,tressin
trets,trets
tricot,tricot
trie chateau,trie chateau
triel sur seine,triel sur seine
trigueres,trigueres
trilport,trilport
trinquetaille,arles
trith st leger,trith saint leger
trogues,trogues
trois chenes,belfort
trois puits,trois puits
